rank,TeamName,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
11,Duke,ACC,24-8,120.7994876364676,9,96.8271049579193,30,0.9271598321043519,11,24.868034404684494,8.131965595315506,15,5,15-5,0.6687369031579472,0.5265444571293664,0.7404749229510089,0.6684508817000357,0.5265444571293664,0.7404749229510089,0.7331556940198152,0.7984136202739478,109.52508829907045,101.48624682265265,109.37352546504907,101.40157937192167,122.07942242235332,97.13385874413484,138.19586643708928,107.90913570615874,0.9450543713409987,9,-0.032468135800232,1554.0,1356.0,1332.8,1.165966386554622,1.017406962785114,0,0.75,3.315784276956162,19,255,66.86362386535356
12,Illinois,B10,26-8,125.32944022107145,3,101.093271563919,97,0.9221106169643205,12,26.892055530732264,8.107944469267736,14,6,14-6,0.7074901182115897,0.4677017414483571,0.8122311636826103,0.7041021347002839,0.4677017414483571,0.8122311636826103,0.6790178587731628,0.8259282232025874,110.53509977921556,99.93170465009699,110.42449074135537,100.03026403405137,128.03836384608874,101.94340203402277,136.97634554705127,108.71316826526616,0.9344776367582032,16,0.046718303496419034,1683.0,1533.0,1408.1875000000002,1.1951533442812123,1.088633438373796,0,0.7,6.010121119601187,7,74,69.8537336384365
13,Saint Mary's,WCC,26-7,115.7902774193858,30,93.65948053955049,13,0.9197770637119028,13,26.77074633414401,7.229253665855987,15,1,15-1,0.5464377622802169,0.5768672442416521,0.489371718382351,0.5531089029249295,0.5768672442416521,0.489371718382351,0.8076247373648616,0.8048780861345551,107.43118995893755,104.23255987953209,107.54162419610222,104.09934275494302,120.5003793187173,95.70108718960016,124.43682824407918,105.98748577500014,0.8635963871725374,7,-0.05005633718717195,1247.0,935.0,1003.9875,1.2420473362467164,0.9312864951007856,0,0.9375,1.4283936833756778,37,287,62.07243678335486
14,Gonzaga,WCC,25-7,121.25826455221771,8,98.614391841425,50,0.915065320991998,14,25.779997487739983,7.220002512260016,14,2,14-2,0.5493183990511257,0.5747075689189588,0.48997493291248995,0.5554724303318798,0.5747075689189588,0.48997493291248995,0.7683012063310573,0.7215613622739571,107.70938883133552,104.24279977427759,107.8215907501108,104.14291004541502,122.59539566810652,99.10341033620992,129.08986614954878,106.22894717042611,0.9039139288028262,8,-0.009154660037463125,1392.0,1087.0,1108.8125,1.255397102756327,0.9803280536610112,0,0.875,2.4670669340547904,26,193,69.07381981716817
15,Alabama,SEC,21-11,125.16119636467825,4,102.0686492416952,121,0.9125761875285925,15,21.815932339579636,11.184067660420364,13,5,13-5,0.7567062162892029,0.6716085520088821,0.8104787629667137,0.755046144073238,0.6716085520088821,0.8104787629667137,0.6422526370051668,0.7049224525665115,113.69573910988127,100.18960344994161,113.6845434031347,100.34121572415788,124.19519320463236,103.19318080790524,123.63791963673043,104.91225795651607,0.868604801274371,14,-0.006699437734136393,1609.0,1506.0,1360.7749999999999,1.1824144329518107,1.1067222722345724,0,0.7222222222222222,3.4383445565146493,15,188,72.5071484723253
16,Kansas,B12,22-10,113.50192113621156,52,92.70829553768814,7,0.9111016407200258,16,22.789981919783315,10.210018080216683,10,8,10-8,0.7249898138567455,0.5506628025325236,0.843833746281273,0.7251876756789435,0.5506628025325236,0.843833746281273,0.643045846991029,0.751259864315796,111.87876966988217,98.75474523864469,111.87441137329725,98.86904803967964,116.84270957190736,94.15977666251999,116.1532622324277,96.7253196971172,0.8913791413867315,17,0.026684196350801104,1321.0,1277.0,1241.925,1.0636713167059202,1.028242446202468,0,0.5555555555555556,4.296319378129923,14,110,68.88107620845774
17,Baylor,B12,23-10,122.21083620174238,6,99.90937796654987,78,0.91028076368465,17,23.90601954204119,10.093980457958812,11,7,11-7,0.7303713950222825,0.5187361427089182,0.8637990169863242,0.7239713743189052,0.5187361427089182,0.8637990169863242,0.6403970118626359,0.7802421066080835,111.44027533536388,98.64170753778969,111.16284321296737,98.73837023551845,122.66023972291038,100.51331827570586,125.92188682463379,105.64138107756152,0.8828327626946187,20,0.043154820769408575,1369.0,1317.0,1213.4125000000001,1.128223089839605,1.0853687431108545,0,0.6111111111111112,5.078131535147355,10,80,65.73496942422771
18,BYU,B12,23-10,120.62927285614978,11,98.98942589884771,59,0.9066713484429163,18,23.75290419625258,10.24709580374742,10,8,10-8,0.670897362015393,0.40650083041266716,0.8423296359355578,0.6735545048640695,0.40650083041266716,0.8423296359355578,0.6927288844221217,0.8813638848530231,109.13734572073963,100.57675888198472,109.05507419786572,100.44629937040861,121.43463569125775,100.66160647030694,127.0195608564172,105.59777561460174,0.8932229872365002,15,-0.00631276030077732,1372.0,1353.0,1247.575,1.0997334829569365,1.0845039376390198,0,0.5555555555555556,2.8692121436365907,21,186,68.9670045942736
19,Wisconsin,B10,22-13,119.80134607718956,13,98.79044101429388,54,0.9018181776571379,19,22.723774780747224,13.276225219252776,11,9,11-9,0.7647224191309765,0.6046326276535855,0.8283490043852207,0.7650925791131623,0.6046326276535855,0.8283490043852207,0.6309745902036714,0.7273948669088703,112.32644407207447,98.74904184815196,112.3164185170844,98.79478128166029,120.82813946424167,100.30447396305121,133.52024378006794,107.7053051270426,0.9220709973121207,17,-0.0036166362380585237,1487.0,1441.0,1328.1375000000003,1.1196129918777233,1.084978023736247,0,0.55,3.329192900497447,18,177,64.95903597337694
20,Texas,B12,20-12,119.0209432270733,18,98.26744952305185,42,0.9005612477243714,20,20,12,9,9,9-9,0.6872145891436574,0.466330374602719,0.840599206533994,0.6872145891436574,0.466330374602719,0.840599206533994,0.6616987503469859,0.8260591067669077,110.41267888976004,100.0994608954031,110.41267888976004,100.0994608954031,120.69966569572802,99.53464427313955,128.6323760384705,108.88970073430997,0.8717102276832556,14,-0.0375916347355163,1346.0,1322.0,1219.525,1.1037084110616837,1.084028617699514,0,0.5,1.2190253384234957,42,269,67.17514791974499
